seqnames start end col gene Common_name
chr33 173327 175457 #bd6959 LOC121062652 MHC-class-2-DM-b-2
chr33 137407 139557 #bd6959 LOC121062655 MHC-class-2-BLb-2
chr33 157434 171628 #bd6959 LOC121062656 MHC-class-2-DM-b-1
chr33 127448 129539 #bd6959 LOC121062657 MHC-class-2-DRa-1
chr33 151824 154515 #bd6959 LOC121062658 MHC-class-2-Ma
chr33 83583 93042 #bd6959 LOC121062663 MDC1
chr33 503760 508576 #bd6959 LOC121062664 TRIM10
chr33 347427 350588 #bd6959 LOC121062665 CD1d-like
chr33 679755 683984 #bd6959 LOC121062670 KLRB1C
chr33 713105 718117 #bd6959 LOC121062671 KLRB1B
chr33 718647 723679 #bd6959 LOC121062672 CLEC2D.2
chr33 684292 689523 #bd6959 LOC121062673 CLEC2B.2
chr33 706627 712229 #bd6959 LOC121062674 CLEC2E
chr33 671367 675606 #bd6959 LOC121062676 CLEC2B.1
chr33 698878 706508 #bd6959 LOC121062677 FCER_C-type-lectin
chr33 693601 698878 #bd6959 LOC121062678 CLEC2D.1
chr33 531653 536474 #bd6959 RACK1 GNB2L
chr33 230272 236723 #bd6959 TAP1 TAP1
chr33 236905 240660 #bd6959 TAP2 TAP2
chr33 303002 344253 #bd6959 TNXB TNXB
chr33 537202 544044 #bd6959 TRIM41 TRIM41
chr33 658159 667599 #bd6959 ZNF692 ZFP.8
